player,ab,slg
Lastings Milledge,379,0.38
Bengie Molina,377,0.326
Jose Molina,167,0.377
Yadier Molina,465,0.342
Miguel Montero,297,0.43799999999999994
Adam Moore,205,0.28300000000000003
Melvin Mora,316,0.42100000000000004
Kendrys Morales,193,0.48700000000000004
Mitch Moreland,145,0.469
Nyjer Morgan,509,0.314
Justin Morneau,296,0.618
Logan Morrison,244,0.447
Mike Morse,266,0.519
David Murphy,419,0.449
Xavier Nady,317,0.353
Mike Napoli,453,0.46799999999999997
Daniel Nava,161,0.36
Dioner Navarro,124,0.258
Wil Nieves,158,0.31
Jayson Nix,331,0.396
Laynce Nix,165,0.455
Miguel Olivo,394,0.449
Magglio Ordonez,323,0.474
David Ortiz,518,0.529
Lyle Overbay,534,0.433
Angel Pagan,579,0.425
Gerardo Parra,364,0.371
Corey Patterson,308,0.406
Eric Patterson,187,0.406
Xavier Paul,121,0.314
Ronny Paulino,316,0.354
Dustin Pedroia,302,0.493
Brayan Pena,158,0.335
Carlos Pena,484,0.40700000000000003
Ramiro Pena,154,0.247
Hunter Pence,614,0.461
Cliff Pennington,508,0.368
Jhonny Peralta,551,0.392
Brandon Phillips,626,0.43
Felix Pie,288,0.413
Juan Pierre,651,0.316
A.J. Pierzynski,474,0.38799999999999996
Scott Podsednik,539,0.382
Placido Polanco,554,0.386
Jorge Posada,383,0.45399999999999996
Buster Posey,406,0.505
Landon Powell,112,0.304
Martin Prado,599,0.45899999999999996
Albert Pujols,587,0.596
Nick Punto,252,0.302
Carlos Quentin,453,0.479
Humberto Quintero,265,0.317
Ryan Raburn,371,0.474
Alexei Ramirez,585,0.431
Aramis Ramirez,465,0.452
Hanley Ramirez,543,0.475
Manny Ramirez,265,0.46
Colby Rasmus,464,0.498
Nolan Reimold,116,0.32799999999999996
Edgar Renteria,243,0.374
Jason Repko,127,0.34600000000000003
Jose Reyes,563,0.428
Mark Reynolds,499,0.433
Will Rhymes,191,0.414
Alex Rios,567,0.457
Juan Rivera,416,0.409
Brian Roberts,230,0.391
Alex Rodriguez,522,0.506
Ivan Rodriguez,398,0.34700000000000003
Sean Rodriguez,343,0.397
Scott Rolen,471,0.49700000000000005
Jimmy Rollins,350,0.374
Adam Rosales,255,0.4
Cody Ross,525,0.413
David Ross,121,0.479
Aaron Rowand,331,0.37799999999999995
Carlos Ruiz,371,0.447
Rusty Ryal,207,0.348
Brendan Ryan,439,0.294
Oscar Salazar,131,0.336
Angel Sanchez,253,0.344
Freddy Sanchez,431,0.397
Gaby Sanchez,572,0.44799999999999995
Pablo Sandoval,563,0.409
Carlos Santana,150,0.467
Ramon Santiago,320,0.325
