uid,game_pk,year,date,team_id_b,team_id_p,inning,top,at_bat_num,pcount_at_bat,pcount_pitcher,balls,strikes,fouls,outs,start_tfs,start_tfs_zulu,batter_id,stand,b_height,pitcher_id,p_throws,away_team_runs,home_team_runs,pitch_id,on_1b,on_2b,on_3b
16657900,287984,2011,2011-06-19,158,111,5,1,44,2,67,0,1,0,2,192217,2011-06-19 19:22:17,518960,R,6-0,123801,R,2,8,362,460579.0,,
16756089,288026,2011,2011-06-22,133,121,7,1,44,2,80,1,0,0,0,14757,2011-06-23 01:47:57,425686,L,6-2,285079,R,1,1,337,,,
16063887,287733,2011,2011-06-01,145,111,6,1,49,3,95,1,1,1,2,191013,2011-06-01 19:10:13,493596,R,6-0,123801,R,4,3,369,,123744.0,
15483800,287480,2011,2011-05-14,117,121,3,0,30,1,70,0,0,0,2,210755,2011-05-14 21:07:55,407849,R,6-0,285079,R,1,4,252,453400.0,,
14949490,287253,2011,2011-04-27,120,121,5,0,39,5,66,1,2,2,2,10309,2011-04-28 01:03:09,150029,R,6-5,285079,R,1,2,281,,,150449.0
16995121,288129,2011,2011-07-01,117,111,5,0,43,2,75,0,1,0,2,13002,2011-07-02 01:30:02,477165,L,6-2,123801,R,1,4,338,,,150324.0
16756115,288026,2011,2011-06-22,133,121,8,1,52,1,93,0,0,0,0,20438,2011-06-23 02:04:38,502003,R,6-0,285079,R,1,1,393,,,
17658559,288417,2011,2011-07-24,136,111,2,1,18,2,35,1,0,0,2,181419,2011-07-24 18:14:19,429711,R,6-2,123801,R,2,5,147,,,
17456502,288330,2011,2011-07-18,110,111,3,0,26,5,42,2,2,2,1,235143,2011-07-18 23:51:43,430945,R,6-3,123801,R,3,2,199,,,
17246998,288239,2011,2011-07-08,137,121,3,0,18,1,25,0,0,0,0,25754,2011-07-09 02:57:54,123173,R,5-9,285079,R,0,0,130,,,
15300421,287405,2011,2011-05-08,119,121,4,1,31,3,55,1,1,1,1,181638,2011-05-08 18:16:38,150148,R,6-2,285079,R,1,1,236,543742.0,,425766.0
17190711,288216,2011,2011-07-06,141,111,7,1,58,4,100,2,1,0,2,10328,2011-07-07 01:03:28,519346,L,6-0,123801,R,3,6,451,,,
16920108,288096,2011,2011-06-28,116,121,7,0,73,3,106,1,1,0,1,13138,2011-06-29 01:31:38,425509,R,6-2,285079,R,13,3,577,400121.0,,
16821002,288055,2011,2011-06-25,134,111,4,0,32,1,46,0,0,0,1,325,2011-06-26 00:03:25,407489,L,6-2,123801,R,2,0,242,435522.0,457705.0,
16479666,287907,2011,2011-06-14,139,111,5,0,39,1,73,0,0,0,2,2328,2011-06-15 00:23:28,450314,L,6-3,123801,R,0,1,279,113028.0,,
17854504,288500,2011,2011-07-30,120,121,1,0,6,4,8,1,2,1,1,231420,2011-07-30 23:14:20,475582,R,6-3,285079,R,0,0,33,,150449.0,
14531361,287072,2011,2011-04-14,115,121,7,1,55,4,107,2,1,1,1,181822,2011-04-14 18:18:22,471865,L,6-1,285079,R,3,2,435,,,452234.0
14531301,287072,2011,2011-04-14,115,121,5,1,38,2,76,0,1,0,1,173604,2011-04-14 17:36:04,452234,L,6-3,285079,R,0,2,291,,451594.0,458643.0
16050310,287727,2011,2011-05-31,134,121,1,1,1,2,2,0,1,0,0,231003,2011-05-31 23:10:03,467798,R,5-11,285079,R,0,0,4,,,
17854596,288500,2011,2011-07-30,120,121,4,0,30,3,53,1,1,1,1,520,2011-07-31 00:05:20,430404,R,6-1,285079,R,0,3,222,,,
16657970,287984,2011,2011-06-19,158,111,8,1,67,3,95,1,1,0,1,200547,2011-06-19 20:05:47,518960,R,6-0,123801,R,3,12,527,,,
14949542,287253,2011,2011-04-27,120,121,7,0,55,2,92,0,1,0,1,13935,2011-04-28 01:39:35,150449,L,6-1,285079,R,1,2,405,,465668.0,
16063795,287733,2011,2011-06-01,145,111,3,1,22,4,34,1,2,1,2,181605,2011-06-01 18:16:05,334393,L,5-10,123801,R,0,3,163,,,
16820944,288055,2011,2011-06-25,134,111,2,0,14,2,16,1,0,0,1,232950,2011-06-25 23:29:50,435522,L,6-3,123801,R,1,0,106,,,
16820948,288055,2011,2011-06-25,134,111,2,0,15,2,20,1,0,0,2,233119,2011-06-25 23:31:19,407489,L,6-2,123801,R,1,0,113,,,
17190540,288216,2011,2011-07-06,141,111,2,1,11,1,27,0,0,0,1,232745,2011-07-06 23:27:45,501983,L,6-0,123801,R,1,1,82,,,
17684385,288428,2011,2011-07-25,113,121,5,0,40,2,56,0,1,0,2,3101,2011-07-26 00:31:01,453211,R,6-4,285079,R,0,0,300,,457926.0,453943.0
17082026,288166,2011,2011-07-03,147,121,2,1,10,7,25,3,2,2,1,185951,2011-07-03 18:59:51,429664,L,6-0,285079,R,0,1,82,,,
